userid,incorporation,bank,credit,funding,hiring,office,exit,comments,last_updated,last_retrieved
6bdf30c6-fa40-4aa3-92c4-4c9c89e4537a,7.0,2.0,3.0,90.0,15.0,14.0,1800.0,,,2016-10-27 11:01:19.587838976
6c44bc32-8556-4773-a673-cc9464cb5e15,60.0,1.0,2.0,20.0,60.0,20.0,0.0,,,2016-10-27 11:01:19.970516992
6d8707bb-3d04-48f7-aa59-ed8ede4ee327,14.0,3.0,90.0,180.0,30.0,20.0,0.0,,,2016-10-27 11:01:20.211272960
6db59e70-b9d0-459a-b812-bb18b66eec66,7.0,1.0,14.0,60.0,30.0,30.0,1825.0,no,,2016-10-27 11:01:20.402131968
6db7bad5-faef-4e9f-8275-054e31a5471f,30.0,30.0,30.0,360.0,90.0,90.0,0.0,no,,2016-10-27 11:01:20.737959936
6dc7512b-3893-4df6-b752-8092db153e47,3.0,1.0,10.0,180.0,15.0,15.0,1800.0,,,2016-10-27 11:01:21.246857984
70c62fb6-636d-4f24-8bfd-2b18b76b8a1f,5.0,5.0,15.0,300.0,120.0,30.0,15.0,,,2016-10-27 11:01:21.591537920
71907423-0f0e-48b2-a285-fa2c60f76292,45.0,4.0,60.0,120.0,12.0,60.0,0.0,,,2016-10-27 11:01:22.129853952
727971f1-b640-40f3-a82f-81b8e9fbaff3,15.0,15.0,21.0,180.0,60.0,30.0,360.0,,,2016-10-27 11:01:22.406834944
7306136d-bf62-45a1-baf3-ee203de940a9,60.0,7.0,180.0,360.0,30.0,7.0,0.0,"""I really believe technology has a huge potential in saving lives in Tanzania, and providing solutions to challenges in Tanzania if utilized well. 

Its important also to help community led institutions, for them to empower themselves and provide solutions to challenges that they are facing. """,,2016-10-27 11:01:22.723468032
74a455af-550e-440d-a20d-07d888bf74cf,90.0,30.0,180.0,90.0,180.0,360.0,30.0,More skills and mentor ship programs should be developed.,,2016-10-27 11:01:23.512749056
755348e2-9012-40f9-a4cc-37843c054d9f,7.0,3.0,10.0,180.0,60.0,10.0,1800.0,,,2016-10-27 11:01:23.680911104
