userid,edgeid,from,to,label,founder_status,date_start,date_end,degree,major,job_level,job_function,num_interactions,num_connections,host_role,investment_type,amount,last_updated,last_retrieved
2b8f674e-075e-4d6a-a2d1-391a7c504adc,f2d565f3-c597-46ce-9130-77c2f68aaac4,27370c70-458a-40d8-8daf-1e86cc4caf09,126e0974-123e-4912-b525-c8aea9cf58bc,worked at,,2000-04-01 00:00:00.000000000,2012-03-01 00:00:00.000000000,,,director,business,,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,5e7399b1-635c-4de5-96c3-e4374dbbaa9b,27370c70-458a-40d8-8daf-1e86cc4caf09,07be5870-e4a8-41bc-a539-8bdd49864add,worked at,,2014-01-01 00:00:00.000000000,2015-09-01 00:00:00.000000000,,,c-level,business,,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,2a3f2b3a-3173-4c6d-8f6f-2a03c1998ef6,27370c70-458a-40d8-8daf-1e86cc4caf09,b5be1923-2ca7-4345-a566-19364d9b1a45,attended,,,,,,,,,20.0,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,44304cc9-534f-4a3f-80c3-5c79a64a7e37,27370c70-458a-40d8-8daf-1e86cc4caf09,bfa964a4-8993-4831-803a-f0a880c7c722,attended,,,,,,,,,10.0,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,0599ef8e-acb4-4de8-b2bd-abfe97cdbf1a,dfcb33ff-ff10-423e-98aa-35f8b3149441,b1260b03-67b1-43cc-9987-466ed5aa36e1,founded,,,,,,,both,,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,2b43e1d4-de7c-4464-baf2-7b65f8f9f770,174cccc2-e47b-4f6b-91dc-f6a303719ae1,b1260b03-67b1-43cc-9987-466ed5aa36e1,invested in,,2015-02-01 00:00:00.000000000,,,,,,,,,equity,75000.0,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,4400fe93-2012-4966-8910-defef4063cae,0c0e8ebe-4f2f-4169-a6a1-d09c0a82f2b6,b1260b03-67b1-43cc-9987-466ed5aa36e1,worked at,,2011-11-01 00:00:00.000000000,,,,analyst,technical,,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,65994851-ac09-4a6c-bb8f-d5c183496d99,27370c70-458a-40d8-8daf-1e86cc4caf09,b1260b03-67b1-43cc-9987-466ed5aa36e1,invested in,,2012-01-01 00:00:00.000000000,,,,,,,,,equity,360000.0,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,9201219d-3a7b-44e4-a6a0-b689ba36a97e,501317bd-13ac-436c-aebd-b8880b91628c,b1260b03-67b1-43cc-9987-466ed5aa36e1,invested in,,2016-02-01 00:00:00.000000000,,,,,,,,,equity,500000.0,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,faa2c62b-936b-4cb4-af15-1c8d38190136,27370c70-458a-40d8-8daf-1e86cc4caf09,3db04721-7449-4362-a3ef-156ff65d5b56,mentored,,2015-01-01 00:00:00.000000000,,,,,,10.0,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,6937dca4-6893-444b-9166-5af7548fc1c5,27370c70-458a-40d8-8daf-1e86cc4caf09,5debc301-735c-43b7-bcda-3abcdf9f512c,studied at,,1991-09-01 00:00:00.000000000,1993-06-01 00:00:00.000000000,master,engineering,,,,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,98a42a37-ce65-43ff-99e9-787a4721195e,b1260b03-67b1-43cc-9987-466ed5aa36e1,fbcacdda-7429-4a4d-83da-05dfef418afd,"Beirut, Lebanon",,2012-04-01 00:00:00.000000000,,,,,,,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,ae93f1a7-399f-4aaa-8bdf-f9a8bf0de188,27370c70-458a-40d8-8daf-1e86cc4caf09,5debc301-735c-43b7-bcda-3abcdf9f512c,studied at,,1993-09-01 00:00:00.000000000,1997-01-01 00:00:00.000000000,doctorate,information technology,,,,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,c6339845-b29a-4205-9ac1-978ac63b3249,27370c70-458a-40d8-8daf-1e86cc4caf09,bbe286a2-7caf-4526-a5f6-8e0a35629e0c,studied at,,1985-09-01 00:00:00.000000000,1991-03-01 00:00:00.000000000,bachelor,engineering,,,,,,,,,2016-10-27 11:00:42.286859008
2b8f674e-075e-4d6a-a2d1-391a7c504adc,b5f3b92e-cfc1-46cd-ab06-d02203e67fea,27370c70-458a-40d8-8daf-1e86cc4caf09,cd466cad-9418-4424-a3f1-7beaf778e02d,worked at,,1997-01-01 00:00:00.000000000,2000-03-01 00:00:00.000000000,,,manager,technical,,,,,,,2016-10-27 11:00:42.286859008
