userid,nodeid,date,num_people,funding_amount,last_updated,last_retrieved
aff17f10-e9da-449c-a661-fdb2d3029b28,3cc81222-7278-4975-b333-56fd5df9a738,2013-12-01 00:00:00.000000000,16.0,,,2016-10-27 11:01:50.351150080
aff17f10-e9da-449c-a661-fdb2d3029b28,3cc81222-7278-4975-b333-56fd5df9a738,2014-12-01 00:00:00.000000000,21.0,,,2016-10-27 11:01:50.351150080
aff17f10-e9da-449c-a661-fdb2d3029b28,3cc81222-7278-4975-b333-56fd5df9a738,2015-12-01 00:00:00.000000000,15.0,,,2016-10-27 11:01:50.351150080
aff17f10-e9da-449c-a661-fdb2d3029b28,a0570552-71f6-450d-b767-1cc44f154b67,2016-01-01 00:00:00.000000000,82.0,,,2016-10-27 11:01:50.351150080
aff17f10-e9da-449c-a661-fdb2d3029b28,c77da2a0-705f-4076-b459-2015989a5748,2015-12-01 00:00:00.000000000,130.0,,,2016-10-27 11:01:50.351150080
b02f68f1-3dce-4590-ab01-a472ba6d6b14,578306ab-b94d-49d7-bc36-42c6901c7491,2015-12-01 00:00:00.000000000,200.0,,,2016-10-27 11:01:50.854853120
b02f68f1-3dce-4590-ab01-a472ba6d6b14,703212bb-33e9-49c8-a69e-75a37976ff56,2016-01-01 00:00:00.000000000,,25000.0,,2016-10-27 11:01:50.854853120
b02f68f1-3dce-4590-ab01-a472ba6d6b14,3bd67a73-0bdd-4f60-be85-78397bfe6aa8,2016-03-01 00:00:00.000000000,500.0,,,2016-10-27 11:01:50.854853120
b02f68f1-3dce-4590-ab01-a472ba6d6b14,7d589ee7-7452-4980-82bd-f4a328049de3,2011-12-01 00:00:00.000000000,4.0,,,2016-10-27 11:01:50.854853120
b02f68f1-3dce-4590-ab01-a472ba6d6b14,7d589ee7-7452-4980-82bd-f4a328049de3,2012-12-01 00:00:00.000000000,4.0,,,2016-10-27 11:01:50.854853120
b02f68f1-3dce-4590-ab01-a472ba6d6b14,7d589ee7-7452-4980-82bd-f4a328049de3,2013-12-01 00:00:00.000000000,4.0,,,2016-10-27 11:01:50.854853120
b02f68f1-3dce-4590-ab01-a472ba6d6b14,7d589ee7-7452-4980-82bd-f4a328049de3,2014-12-01 00:00:00.000000000,4.0,,,2016-10-27 11:01:50.854853120
b02f68f1-3dce-4590-ab01-a472ba6d6b14,7d589ee7-7452-4980-82bd-f4a328049de3,2015-12-01 00:00:00.000000000,4.0,,,2016-10-27 11:01:50.854853120
b4c5e0de-d5ce-49b5-a314-2df2c8b5b370,c97b7604-8ef7-4187-a83d-c544f36c5da4,2012-01-01 00:00:00.000000000,,14680.0,,2016-10-27 11:01:51.905744896
b4c5e0de-d5ce-49b5-a314-2df2c8b5b370,c97b7604-8ef7-4187-a83d-c544f36c5da4,2012-12-01 00:00:00.000000000,2.0,,,2016-10-27 11:01:51.905744896
b4c5e0de-d5ce-49b5-a314-2df2c8b5b370,c97b7604-8ef7-4187-a83d-c544f36c5da4,2016-12-01 00:00:00.000000000,6.0,,,2016-10-27 11:01:51.905744896
b4c5e0de-d5ce-49b5-a314-2df2c8b5b370,59a3e87c-bc73-477d-8196-4b1844400779,2015-08-01 00:00:00.000000000,80.0,,,2016-10-27 11:01:51.905744896
b4c5e0de-d5ce-49b5-a314-2df2c8b5b370,a0369401-8347-43a6-9ee0-6533e6b1e43a,2015-01-01 00:00:00.000000000,50.0,,,2016-10-27 11:01:51.905744896
b4c5e0de-d5ce-49b5-a314-2df2c8b5b370,34528259-eb3f-4b82-99a2-8380479789ad,2016-07-01 00:00:00.000000000,10000.0,,,2016-10-27 11:01:51.905744896
b4e22b01-80a9-4978-a205-ec5cd0b4f1ca,a9ed3784-7556-42be-a035-bfcdb6e389aa,2016-04-01 00:00:00.000000000,400.0,,,2016-10-27 11:01:52.695785984
b4e22b01-80a9-4978-a205-ec5cd0b4f1ca,1ac5d007-befc-4b73-a214-40e75f0d850e,2015-12-01 00:00:00.000000000,2.0,,,2016-10-27 11:01:52.695785984
